,house_id,property_type,address,city,state_abbr,zip_code,price,beds,baths,square_feet,lot_size,year_built,hoa_permonth,population,pop_cat,min_temp,max_temp,temp_range,latitude,longitude,url
0,1,Vacant Land,000 Avilla E,Alexander,AR,72002,600000,0,0.0,0,2613600,unknown,0,2901,middle,32.0,90.1,58.1,34.683729,-92.581063,http://www.redfin.com/AR/Beaver-Township/Avilla-E-72002/home/81479393
1,2,Single Family Residential,9015 Springhill Rd,Alexander,AR,72002,175000,5,2.0,2556,69696,1974,0,2901,middle,32.0,90.1,58.1,34.673700200000006,-92.5234102,http://www.redfin.com/AR/Alexander/9015-Springhill-Rd-72002/home/82919181
2,3,Single Family Residential,7105 Woodsgate Cv,Alexander,AR,72002,158800,3,2.0,1452,12196,2020,8,2901,middle,32.0,90.1,58.1,34.629537299999996,-92.44126740000002,http://www.redfin.com/AR/Alexander/7105-Woodsgate-CV-Unknown/home/172614144
3,4,Single Family Residential,5072 Peace Ln,Alexander,AR,72002,329900,4,3.5,2550,9583,2020,0,2901,middle,32.0,90.1,58.1,34.6701265,-92.507217,http://www.redfin.com/AR/Alexander/5072-Peace-Ln-72002/home/148721154
4,5,Mobile/Manufactured Home,15900 Shirley Dr,Alexander,AR,72002,21000,2,1.0,1124,13939,1983,0,2901,middle,32.0,90.1,58.1,34.606398399999996,-92.44404499999999,http://www.redfin.com/AR/Alexander/15900-Shirley-Dr-72002/home/81486462
5,6,Vacant Land,Shirley Rd,Alexander,AR,72002,19000,0,0.0,0,22651,unknown,0,2901,middle,32.0,90.1,58.1,34.606706,-92.444351,http://www.redfin.com/AR/ALEXANDER/SHIRLEY-DR-72002/home/95423013
6,7,Single Family Residential,2708 Creekside,Alexander,AR,72002,374900,4,2.5,2662,20037,2020,0,2901,middle,32.0,90.1,58.1,34.629537299999996,-92.44126740000002,http://www.redfin.com/AR/Alexander/2708-Creekside-72002/home/170485311
7,8,Single Family Residential,7121 Woodsgate Cv,Alexander,AR,72002,161525,4,2.0,1476,8712,2020,8,2901,middle,32.0,90.1,58.1,34.629537299999996,-92.44126740000002,http://www.redfin.com/AR/Alexander/7121-Woodsgate-CV-Unknown/home/172534631
8,9,Single Family Residential,2803 Creekside,Alexander,AR,72002,359900,4,2.5,2644,22215,2020,0,2901,middle,32.0,90.1,58.1,34.629537299999996,-92.44126740000002,http://www.redfin.com/AR/Alexander/2803-Creekside-72002/home/171574784
9,10,Single Family Residential,5502 Village Trce,Benton,AR,72019,194900,3,2.0,1734,0,2014,0,30681,middle,32.0,90.1,58.1,34.633626899999996,-92.5178978,http://www.redfin.com/AR/Benton/5502-Village-Trce-72019/home/95434845
10,11,Single Family Residential,2221 E Longhills Rd,Benton,AR,72019,309900,3,2.5,2027,0,1999,0,30681,middle,32.0,90.1,58.1,34.599934499999996,-92.5600002,http://www.redfin.com/AR/Benton/2221-Longhills-Rd-E-72019/home/81505795
11,12,Single Family Residential,202 Texas Dr,Benton,AR,72015,182900,3,2.0,1717,8712,2012,0,30681,middle,32.0,90.1,58.1,34.5618696,-92.548079,http://www.redfin.com/AR/Benton/202-Texas-Dr-72015/home/95435405
12,13,Vacant Land,112.93 Acres Scott Salem Rd,Benton,AR,72019,3491435,0,0.0,0,4919230,unknown,0,30681,middle,32.0,90.1,58.1,34.613894,-92.563506,http://www.redfin.com/AR/BENTON/SCOTT-SALEM-RD-72019/home/81480796
13,14,Single Family Residential,622 River Rdg,Benton,AR,72019,359900,3,2.5,3000,871200,1968,0,30681,middle,32.0,90.1,58.1,34.631671999999995,-92.582047,http://www.redfin.com/AR/Benton/622-River-Ridge-Rd-72019/home/81479362
14,15,Single Family Residential,307 & 305 E Narroway,Benton,AR,72015,135000,3,2.0,1977,16117,1964,0,30681,middle,32.0,90.1,58.1,34.56823920000001,-92.58424980000001,http://www.redfin.com/AR/Benton/305-E-Narroway-St-72015/home/81499390
15,16,Single Family Residential,2711 Cypress Point Dr,Benton,AR,72019,415000,5,3.5,3040,28314,2020,13,30681,middle,32.0,90.1,58.1,34.6068935,-92.5534745,http://www.redfin.com/AR/Benton/2711-Cypress-Point-Dr-72019/home/170728126
16,17,Single Family Residential,3203 Mckensie Dr,Benton,AR,72015,185000,3,2.0,1900,10454,2006,0,30681,middle,32.0,90.1,58.1,34.564516,-92.548679,http://www.redfin.com/AR/Benton/3203-McKensie-Dr-72015/home/95417379
17,18,Single Family Residential,1511 Alcoa,Benton,AR,72015,125000,3,1.0,938,8712,1964,0,30681,middle,32.0,90.1,58.1,34.57143,-92.56953,http://www.redfin.com/AR/Benton/Alcoa-Rd-Unknown/home/81502745
18,19,Single Family Residential,6845 Hilo Ave,Benton,AR,72019,549900,4,4.5,3691,0,2020,75,30681,middle,32.0,90.1,58.1,34.6268904,-92.5474278,http://www.redfin.com/AR/Benton/6845-Hilo-Ave-72019/home/169646355
19,20,Single Family Residential,6705 Kensington Dr,Benton,AR,72019,650000,4,3.5,5018,21780,2000,44,30681,middle,32.0,90.1,58.1,34.625221200000006,-92.5274917,http://www.redfin.com/AR/Benton/6705-Kensington-Dr-72019/home/95438218
20,21,Single Family Residential,7504 Palm Beach Ave,Benton,AR,72019,539950,5,4.0,4631,36590,2007,70,30681,middle,32.0,90.1,58.1,34.633200200000005,-92.5218434,http://www.redfin.com/AR/Benton/7504-Palm-Beach-Ave-72019/home/95419710
21,22,Single Family Residential,4094 Hampton Dr,Benton,AR,72019,257500,4,2.0,2057,20037,2020,21,30681,middle,32.0,90.1,58.1,34.5664733,-92.54546850000001,http://www.redfin.com/AR/Benton/4094-Hampton-Dr-72015/home/172616050
22,23,Single Family Residential,7636 Zuber Rd Rd,Benton,AR,72019,170000,3,2.0,1720,22651,1972,0,30681,middle,32.0,90.1,58.1,34.6421477,-92.5639464,http://www.redfin.com/AR/Benton/7636-Zuber-Rd-72019/home/81479012
23,24,Single Family Residential,6013 Riviera,Benton,AR,72019,479900,4,3.5,3220,17859,2020,48,30681,middle,32.0,90.1,58.1,34.619178999999995,-92.535965,http://www.redfin.com/AR/Benton/6013-Riviera-Dr-72019/home/81505671
24,25,Single Family Residential,2916 Burchwood Dr,Benton,AR,72019,124900,4,1.0,1428,20908,1969,0,30681,middle,32.0,90.1,58.1,34.6192018,-92.5479822,http://www.redfin.com/AR/Benton/2916-Burchwood-Dr-72019/home/81485865
25,26,Single Family Residential,211 Wild Cherry Dr,Benton,AR,72015,147500,3,2.0,1450,17859,2007,5,30681,middle,32.0,90.1,58.1,34.5643953,-92.55551120000001,http://www.redfin.com/AR/Benton/211-Wild-Cherry-Ln-72015/home/82937938
26,27,Single Family Residential,725 Edgehill Dr,Benton,AR,72015,105000,3,1.0,1147,0,1968,0,30681,middle,32.0,90.1,58.1,34.5693064,-92.5614395,http://www.redfin.com/AR/Benton/725-Edgehill-72015/home/81495227
27,28,Single Family Residential,305 W Cross St,Benton,AR,72015,550000,5,3.5,3900,7405,2020,0,30681,middle,32.0,90.1,58.1,34.5668554,-92.58968780000001,http://www.redfin.com/AR/Benton/305-W-Cross-St-72015/home/81494211
28,29,Single Family Residential,9012 Naples Cv,Benton,AR,72019,395000,4,3.5,3143,14810,2014,48,30681,middle,32.0,90.1,58.1,34.6445445,-92.5205282,http://www.redfin.com/AR/Benton/9012-Naples-Cv-72019/home/82939668
29,30,Vacant Land,25 Westminster Lot 25,Benton,AR,72019,35000,0,0.0,0,17424,unknown,48,30681,middle,32.0,90.1,58.1,34.6024905,-92.54691729999999,http://www.redfin.com/AR/Benton/19960-Interstate-30-72019/unit-25/home/172575206
30,31,Single Family Residential,109 Ryker Ln,Benton,AR,72019,464900,4,2.5,3245,43560,2020,0,30681,middle,32.0,90.1,58.1,34.5645371,-92.586828,http://www.redfin.com/AR/Benton/109-Ryker-LN-Unknown/home/172572987
31,32,Single Family Residential,5539 Atlantic Cv,Benton,AR,72019,359900,4,3.5,3199,16552,2007,44,30681,middle,32.0,90.1,58.1,34.642219,-92.519662,http://www.redfin.com/AR/Benton/5539-Atlantic-Cv-72019/home/82833657
32,33,Single Family Residential,101 Ryker Ln,Benton,AR,72019,429900,4,3.5,2972,43560,2020,0,30681,middle,32.0,90.1,58.1,34.5645371,-92.586828,http://www.redfin.com/AR/Benton/101-Ryker-LN-Unknown/home/172572884
33,34,Vacant Land,2 Westshore Addition Lot 2,Benton,AR,72019,170000,0,0.0,0,35719,unknown,72,30681,middle,32.0,90.1,58.1,34.633042100000004,-92.5477303,http://www.redfin.com/AR/Benton/Westshore-Ave-72019/unit-2/home/87077337
34,35,Single Family Residential,3817 Congo Rd,Benton,AR,72019,180000,3,2.0,1787,11761,1975,0,30681,middle,32.0,90.1,58.1,34.5999394,-92.56617779999999,http://www.redfin.com/AR/Benton/3817-Congo-Rd-72019/home/81498202
35,36,Vacant Land,6560 Westminster,Benton,AR,72019,69000,0,0.0,0,0,unknown,72,30681,middle,32.0,90.1,58.1,34.6297785,-92.5467463,http://www.redfin.com/AR/Benton/6560-Westminster-72019/home/167145540
36,37,Single Family Residential,5072 Westridge Cir,Benton,AR,72019,469900,4,3.0,3402,37897,2020,0,30681,middle,32.0,90.1,58.1,34.5645371,-92.586828,http://www.redfin.com/AR/Benton/5072-Westridge-CIR-Unknown/home/172521739
37,38,Single Family Residential,4442 Gabby Ln,Benton,AR,72019,319900,3,2.0,2391,130680,1996,0,30681,middle,32.0,90.1,58.1,34.6027578,-92.58114609999998,http://www.redfin.com/AR/Benton/4442-Gabby-Ln-72019/home/82953294
38,39,Single Family Residential,1004 Nature Way,Benton,AR,72019,299900,4,2.0,2149,0,2016,50,30681,middle,32.0,90.1,58.1,34.6057191,-92.5769824,http://www.redfin.com/AR/Benton/1004-Nature-Way-72019/home/81510811
39,40,Single Family Residential,3512 Clover Hl,Benton,AR,72015,264900,4,2.0,2319,15245,2007,19,30681,middle,32.0,90.1,58.1,34.5890551,-92.5451567,http://www.redfin.com/AR/Benton/3512-Clover-Hill-Ln-72015/home/82819717
40,41,Single Family Residential,3014 Henson Pl,Bryant,AR,72022,199900,3,2.5,2100,0,2001,0,16688,middle,32.0,90.1,58.1,34.6224779,-92.5106843,http://www.redfin.com/AR/Bryant/3014-Henson-Pl-72022/home/95433594
41,42,Single Family Residential,3815 Logan Ridge Dr,Bryant,AR,72022,257500,3,2.0,1972,6969,2018,7,16688,middle,32.0,90.1,58.1,34.629094200000004,-92.48980959999999,http://www.redfin.com/AR/Bryant/3815-Logan-Ridge-Dr-72022/home/103649939
42,43,Single Family Residential,1205 Prickett Rd,Bryant,AR,72022,190000,3,2.0,1879,0,2000,0,16688,middle,32.0,90.1,58.1,34.6112539,-92.5038779,http://www.redfin.com/AR/Bryant/1205-Prickett-Rd-72022/home/82855193
43,44,Single Family Residential,2427 Hurricane Gardens Dr,Bryant,AR,72022,315000,4,2.5,2235,7405,2019,25,16688,middle,32.0,90.1,58.1,34.6310492,-92.51679909999999,http://www.redfin.com/AR/Bryant/2427-Hurricane-Gardens-Dr-72019/home/168212847
44,45,Single Family Residential,1818 Rodeo Dr,Bryant,AR,72022,265000,4,2.5,2476,12196,1999,0,16688,middle,32.0,90.1,58.1,34.6022727,-92.5098721,http://www.redfin.com/AR/Bryant/1818-Rodeo-Dr-72022/home/81501924
45,46,Single Family Residential,3810 Commonwealth Dr,Bryant,AR,72022,374900,4,3.5,3297,18295,2006,0,16688,middle,32.0,90.1,58.1,34.6294971,-92.5001851,http://www.redfin.com/AR/Bryant/3810-Commonwealth-Dr-72022/home/95420157
46,47,Single Family Residential,3413 Garden Clb,Bryant,AR,72022,159900,3,2.0,1297,3484,2018,25,16688,middle,32.0,90.1,58.1,34.6239604,-92.4761634,http://www.redfin.com/AR/Bryant/3413-Garden-Club-Dr-72022/home/95437229
47,48,Single Family Residential,1511 Graham Rd,Jacksonville,AR,72076,93000,4,2.0,1558,15681,1958,0,28364,middle,32.0,90.1,58.1,34.866703,-92.0928579,http://www.redfin.com/AR/Jacksonville/1511-Graham-Rd-72076/home/95367802
48,49,Single Family Residential,1005 Graham Rd,Jacksonville,AR,72076,114000,3,1.5,1938,11325,1952,0,28364,middle,32.0,90.1,58.1,34.8666701,-92.0997946,http://www.redfin.com/AR/Jacksonville/1005-Graham-Rd-72076/home/81354054
49,50,Single Family Residential,409 W Martin St,Jacksonville,AR,72076,88900,3,1.5,1188,0,1963,0,28364,middle,32.0,90.1,58.1,34.8737576,-92.1135563,http://www.redfin.com/AR/Jacksonville/409-W-Martin-St-72076/home/95366671
50,51,Single Family Residential,2 Tara Rdg,Jacksonville,AR,72076,139900,3,2.0,1584,14374,1977,0,28364,middle,32.0,90.1,58.1,34.8660503,-92.15759109999999,http://www.redfin.com/AR/Jacksonville/2-Tara-Ridge-Cv-72076/home/81357157
51,52,Single Family Residential,604 Innsbrooke,Jacksonville,AR,72076,249900,3,2.0,2079,16552,1994,0,28364,middle,32.0,90.1,58.1,34.87340379999999,-92.1571882,http://www.redfin.com/AR/Jacksonville/604-Innsbrooke-Cv-72076/home/82853428
52,53,Single Family Residential,18 N Vly,Jacksonville,AR,72076,134900,3,2.0,1506,17859,2005,0,28364,middle,32.0,90.1,58.1,34.870382899999996,-92.181719,http://www.redfin.com/AR/Jacksonville/18-N-Valley-Dr-72076/home/82856802
53,54,Vacant Land,5709 Hummingbird Ln,Jacksonville,AR,72076,57000,0,0.0,0,12196,unknown,0,28364,middle,32.0,90.1,58.1,34.8562967,-92.17428050000001,http://www.redfin.com/AR/Jacksonville/5709-Hummingbird-Ln-72076/home/95359395
54,55,Single Family Residential,905 S Oak,Jacksonville,AR,72120,125000,3,1.0,1602,34848,1950,0,28364,middle,32.0,90.1,58.1,34.859088,-92.113439,http://www.redfin.com/AR/Jacksonville/905-S-Oak-St-72076/home/95368444
55,56,Single Family Residential,1001 Gray,Jacksonville,AR,72076,103000,3,2.0,1311,10890,1966,0,28364,middle,32.0,90.1,58.1,34.875839,-92.11154350000001,http://www.redfin.com/AR/Jacksonville/1001-Gray-St-72076/home/81353454
56,57,Single Family Residential,1520 Lost Creek Dr,Jacksonville,AR,72076,299900,4,2.0,2500,14810,2020,8,28364,middle,32.0,90.1,58.1,34.88092929999999,-92.1636752,http://www.redfin.com/AR/Jacksonville/1520-Lost-Creek-Dr-72076/home/172616775
57,58,Single Family Residential,115 Galloway Cir,Jacksonville,AR,72076,7000,3,1.5,1156,28314,1940,0,28364,middle,32.0,90.1,58.1,34.864069,-92.1041089,http://www.redfin.com/AR/Jacksonville/115-Galloway-Cir-72076/home/95368246
58,59,Single Family Residential,204 Cherry St,Jacksonville,AR,72076,66000,3,1.0,1084,9583,1965,0,28364,middle,32.0,90.1,58.1,34.8689628,-92.1036563,http://www.redfin.com/AR/Jacksonville/204-Cherry-St-72076/home/95367151
59,60,Single Family Residential,1312 Yellowstone Dr,Jacksonville,AR,72076,139000,3,1.5,1373,8276,2001,0,28364,middle,32.0,90.1,58.1,34.856100299999994,-92.1254046,http://www.redfin.com/AR/Jacksonville/1312-Yellow-Stone-Dr-72076/home/93418924
60,61,Vacant Land,609 Sharp Dr,Jacksonville,AR,72076,10000,0,0.0,0,12196,unknown,0,28364,middle,32.0,90.1,58.1,34.8626989,-92.1250978,http://www.redfin.com/AR/Jacksonville/609-Sharp-Dr-72076/home/95371124
61,62,Single Family Residential,1 Hunters Woods Ct,Little Rock,AR,72210,295000,3,3.5,3877,20473,1994,45,193524,large,32.0,90.1,58.1,34.6572251,-92.4414689,http://www.redfin.com/AR/Little-Rock/1-Hunters-Woods-Ct-72210/home/81400916
62,63,Single Family Residential,254 River Ridge Pt,Little Rock,AR,72227,1175000,4,4.0,5729,46173,2008,61,193524,large,32.0,90.1,58.1,34.795143599999996,-92.3836376,http://www.redfin.com/AR/Little-Rock/254-River-Ridge-Pt-72227/home/95335864
63,64,Single Family Residential,6104 Sandy Ln,Little Rock,AR,72204,187500,3,2.0,2034,11325,2006,0,193524,large,32.0,90.1,58.1,34.695879,-92.397242,http://www.redfin.com/AR/Little-Rock/6104-Sandy-Ln-72204/home/95349998
64,65,Single Family Residential,105 Wellington Plantation Ln,Little Rock,AR,72212,395000,5,4.5,3743,11325,2005,33,193524,large,32.0,90.1,58.1,34.7701152,-92.4412179,http://www.redfin.com/AR/Little-Rock/105-Wellington-Plantation-Ln-72211/home/81409375
65,66,Single Family Residential,1904 Cherrybend Dr,Little Rock,AR,72211,249500,3,2.5,2328,9147,1998,0,193524,large,32.0,90.1,58.1,34.736000399999995,-92.411396,http://www.redfin.com/AR/Little-Rock/1904-Cherrybend-Dr-72211/home/95362866
66,67,Condo/Co-op,3700 Cantrell Rd #410,Little Rock,AR,72202,230000,1,1.0,1026,0,2009,307,193524,large,32.0,90.1,58.1,34.765593700000004,-92.3122795,http://www.redfin.com/AR/Little-Rock/3700-Cantrell-Rd-72202/unit-410/home/172662710
67,68,Condo/Co-op,3700 Cantrell Rd #412,Little Rock,AR,72202,215000,1,1.0,948,0,2009,284,193524,large,32.0,90.1,58.1,34.765593700000004,-92.3122795,http://www.redfin.com/AR/Little-Rock/3700-Cantrell-Rd-72202/unit-412/home/172662703
68,69,Condo/Co-op,3700 Cantrell Rd #411,Little Rock,AR,72202,215000,1,1.0,948,0,2009,284,193524,large,32.0,90.1,58.1,34.765593700000004,-92.3122795,http://www.redfin.com/AR/Little-Rock/3700-Cantrell-Rd-72202/unit-411/home/172662700
69,70,Single Family Residential,1015 N Polk St,Little Rock,AR,72205,449500,4,2.5,2307,6969,1946,0,193524,large,32.0,90.1,58.1,34.760579799999995,-92.3342388,http://www.redfin.com/AR/Little-Rock/1015-N-Polk-St-72205/home/82867972
70,71,Single Family Residential,13 Portia Dr,Little Rock,AR,72212,269500,4,2.5,2304,0,1975,0,193524,large,32.0,90.1,58.1,34.7828398,-92.4240928,http://www.redfin.com/AR/Little-Rock/13-Portia-Dr-72212/home/95334538
71,72,Single Family Residential,6 Shepard Ct,Little Rock,AR,72223,288000,3,2.5,2664,10890,1991,0,193524,large,32.0,90.1,58.1,34.7965536,-92.4335483,http://www.redfin.com/AR/Little-Rock/6-Shepard-Ct-72223/home/95334591
72,73,Single Family Residential,1205 Kavanaugh Blvd,Little Rock,AR,72205,424000,2,2.5,2235,2178,1920,0,193524,large,32.0,90.1,58.1,34.7535853,-92.3068676,http://www.redfin.com/AR/Little-Rock/1205-Kavanaugh-Blvd-72205/home/82830294
73,74,Single Family Residential,600 Nan Cir,Little Rock,AR,72211,115000,3,2.0,1220,9583,1973,0,193524,large,32.0,90.1,58.1,34.75867589999999,-92.399164,http://www.redfin.com/AR/Little-Rock/600-Nan-Cir-72211/home/81393871
74,75,Single Family Residential,13821 Cantrell,Little Rock,AR,72223,85000,3,1.0,1288,9147,1945,0,193524,large,32.0,90.1,58.1,34.8011867,-92.42595870000001,http://www.redfin.com/AR/Little-Rock/13821-Cantrell-Rd-72223/home/81391239
75,76,Single Family Residential,319 Dennison St,Little Rock,AR,72205,133500,2,1.5,1072,6969,1915,0,193524,large,32.0,90.1,58.1,34.7474957,-92.2986325,http://www.redfin.com/AR/Little-Rock/319-Dennison-St-72205/home/95320062
76,77,Single Family Residential,8500 Shelley Dr,Little Rock,AR,72209,82900,3,1.5,1384,9583,1964,0,193524,large,32.0,90.1,58.1,34.67236810000001,-92.3382843,http://www.redfin.com/AR/Little-Rock/8500-Shelley-Dr-72209/home/81419515
77,78,Single Family Residential,15524 Chicopee Trl,Little Rock,AR,72210,314900,4,3.0,2389,126324,1964,0,193524,large,32.0,90.1,58.1,34.6995904,-92.44647009999998,http://www.redfin.com/AR/Little-Rock/15524-Chicopee-Trl-72210/home/95350663
78,79,Single Family Residential,1624 N Fillmore,Little Rock,AR,72207,339000,4,3.0,2111,6969,1940,0,193524,large,32.0,90.1,58.1,34.7673245,-92.3373885,http://www.redfin.com/AR/Little-Rock/1624-N-Fillmore-St-72207/home/82924177
79,80,Condo/Co-op,315 Rock #1609,Little Rock,AR,72202,509900,2,2.0,1563,0,2009,716,193524,large,32.0,90.1,58.1,34.7452442,-92.2669651,http://www.redfin.com/AR/Little-Rock/315-Rock-St-72202/unit-1609/home/95358889
80,81,Single Family Residential,18 Farnham Loop,Little Rock,AR,72223,545000,4,3.5,4610,14374,2005,38,193524,large,32.0,90.1,58.1,34.7911131,-92.4565128,http://www.redfin.com/AR/Little-Rock/18-Farnham-Loop-72223/home/95329409
81,82,Single Family Residential,302 Hickory Creek Ct NW,Little Rock,AR,72212,1349000,5,4.5,7349,16117,1998,306,193524,large,32.0,90.1,58.1,34.7915957,-92.4392234,http://www.redfin.com/AR/Little-Rock/302-Hickory-Creek-Ct-72212/home/95334305
82,83,Condo/Co-op,3700 Cantrell Rd #407,Little Rock,AR,72202,210000,1,1.0,844,0,2009,253,193524,large,32.0,90.1,58.1,34.7677332,-92.3234467,http://www.redfin.com/AR/Little-Rock/3700-Cantrell-Rd-72202/unit-407/home/81367373
83,84,Condo/Co-op,3700 Cantrell Rd #408,Little Rock,AR,72202,210000,1,1.0,844,0,2009,253,193524,large,32.0,90.1,58.1,34.7677332,-92.3234467,http://www.redfin.com/AR/Little-Rock/3700-Cantrell-Rd-72202/unit-408/home/81365871
84,85,Single Family Residential,61 Berney Way Dr,Little Rock,AR,72223,329900,4,2.5,2894,10454,1999,35,193524,large,32.0,90.1,58.1,34.806594700000005,-92.4841027,http://www.redfin.com/AR/Little-Rock/61-Berney-Way-Dr-72223/home/95363635
