PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,HOA/MONTH,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),LATITUDE,LONGITUDE
Single Family Residential,14044 W Monte Vista Rd,Goodyear,AZ,85395,422020,5,3,2977,0,2020,0,http://www.redfin.com/AZ/Goodyear/14044-W-Monte-Vista-Rd-85395/home/172589761,33.470985,-112.359155
Single Family Residential,14032 W Monte Vista Rd,Goodyear,AZ,85395,409527,4,3,2563,0,2020,0,http://www.redfin.com/AZ/Goodyear/14032-W-Monte-Vista-Rd-85395/home/172589760,33.470985,-112.359155
Single Family Residential,2028 N 141st Ave,Goodyear,AZ,85395,460020,6,4,3628,0,2020,0,http://www.redfin.com/AZ/Goodyear/2028-N-141st-Ave-85395/home/172589759,33.470985,-112.359155
Single Family Residential,Jubilee,Goodyear,AZ,85395,315990,4,3,2022,0,unknown,0,http://www.redfin.com/AZ/Goodyear/Montego-at-Sedella-Classic-Series/Jubilee/home/172001235,33.4946321,-112.4521764
Single Family Residential,Mason,Goodyear,AZ,85395,299990,4,2,1810,0,unknown,0,http://www.redfin.com/AZ/Goodyear/Montego-at-Sedella-Classic-Series/Mason/home/172001236,33.4946321,-112.4521764
Single Family Residential,Leslie,Goodyear,AZ,85395,284990,3,2,1531,0,unknown,0,http://www.redfin.com/AZ/Goodyear/Montego-at-Sedella-Classic-Series/Leslie/home/172001237,33.4946321,-112.4521764
Single Family Residential,Mayfair,Goodyear,AZ,85395,269990,3,2,1296,0,unknown,0,http://www.redfin.com/AZ/Goodyear/Montego-at-Sedella-Classic-Series/Mayfair/home/172001238,33.4946321,-112.4521764
Single Family Residential,Bailey,Goodyear,AZ,85395,352990,5,3,2528,0,unknown,0,http://www.redfin.com/AZ/Goodyear/Montego-at-Sedella-Estate-Series/Bailey/home/172487376,33.4946321,-112.4521764
Single Family Residential,Lark,Goodyear,AZ,85395,337990,4,3,2342,0,unknown,0,http://www.redfin.com/AZ/Goodyear/Montego-at-Sedella-Estate-Series/Lark/home/172506936,33.4946321,-112.4521764
Single Family Residential,Amber,Goodyear,AZ,85395,337990,4,2.5,2343,0,unknown,0,http://www.redfin.com/AZ/Goodyear/Montego-at-Sedella-Estate-Series/Amber/home/172487378,33.4946321,-112.4521764
Single Family Residential,Tonto,Goodyear,AZ,85395,327990,3,2,2106,0,unknown,0,http://www.redfin.com/AZ/Goodyear/Montego-at-Sedella-Estate-Series/Tonto/home/169868922,33.4946328,-112.4521729
Single Family Residential,Onyx - RV Garage Included,Goodyear,AZ,85395,392990,4,2,2139,0,unknown,0,http://www.redfin.com/AZ/Goodyear/Alicante-at-Sedella-Reserve-Series/Onyx-RV-Garage-Included/home/172001230,33.4946321,-112.4521764
Single Family Residential,Madison,Goodyear,AZ,85395,433990,5,3,3428,0,unknown,0,http://www.redfin.com/AZ/Goodyear/Alicante-at-Sedella-Reserve-Series/Madison/home/172001231,33.4946321,-112.4521764
Single Family Residential,Austin,Goodyear,AZ,85395,433990,4,3,3240,0,unknown,0,http://www.redfin.com/AZ/Goodyear/Alicante-at-Sedella-Reserve-Series/Austin/home/172001232,33.4946321,-112.4521764
Single Family Residential,Shasta,Goodyear,AZ,85395,412990,4,2.5,3122,0,unknown,0,http://www.redfin.com/AZ/Goodyear/Alicante-at-Sedella-Reserve-Series/Shasta/home/172001233,33.4946321,-112.4521764
Single Family Residential,11107 W DANA Ln,Avondale,AZ,85392,359555,4,3.5,3169,7836,1996,60,http://www.redfin.com/AZ/Avondale/11107-W-Dana-Ln-85392/home/26916870,33.4925197,-112.2993624
Single Family Residential,12534 W CAMBRIDGE Ave,Avondale,AZ,85392,319900,4,2.5,2038,5715,1996,45,http://www.redfin.com/AZ/Avondale/12534-W-Cambridge-Ave-85392/home/27720925,33.4760039,-112.3294693
Single Family Residential,11951 W Lewis Ave,Avondale,AZ,85392,329000,4,2,2169,7470,2006,78,http://www.redfin.com/AZ/Avondale/11951-W-Lewis-Ave-85392/home/28233054,33.4720768,-112.3160342
Single Family Residential,3713 N 127TH Dr,Avondale,AZ,85392,319900,3,2,2011,6049,2002,34,http://www.redfin.com/AZ/AVONDALE/3713-N-127TH-DR-85392/home/27869300,33.490505,-112.333475
Single Family Residential,11114 W OLIVE Dr,Avondale,AZ,85392,339900,5,2.5,2507,7680,1990,57,http://www.redfin.com/AZ/Avondale/11114-W-Olive-Dr-85392/home/27957991,33.481794,-112.299184
Single Family Residential,12621 W CHEERY LYNN Rd,Avondale,AZ,85392,265000,3,2,1383,7022,2000,52,http://www.redfin.com/AZ/Avondale/12621-W-Cheery-Lynn-Rd-85392/home/27613626,33.4836699,-112.330261
Single Family Residential,12563 W OSBORN Rd,Avondale,AZ,85392,310000,4,2,2155,6050,2001,52,http://www.redfin.com/AZ/Avondale/12563-W-Osborn-Rd-85392/home/28051206,33.4870617,-112.328701
Single Family Residential,13507 W MERRELL St,Avondale,AZ,85392,584900,6,3.5,4014,8769,2006,75,http://www.redfin.com/AZ/Avondale/13507-W-Merrell-St-85392/home/28154473,33.4800788,-112.3506812
Single Family Residential,12691 W MULBERRY Dr,Avondale,AZ,85392,265000,3,2,1376,5614,2001,52,http://www.redfin.com/AZ/Avondale/12691-W-Mulberry-Dr-85392/home/28012397,33.4871863,-112.3318909
Single Family Residential,11006 W ALVARADO Rd,Avondale,AZ,85392,390000,4,2,2743,8089,1999,43,http://www.redfin.com/AZ/Avondale/11006-W-Alvarado-Rd-85392/home/27728290,33.4710845,-112.2974996
Single Family Residential,12642 W AVALON Dr,Avondale,AZ,85392,325000,5,2.5,2494,7792,2001,40,http://www.redfin.com/AZ/Avondale/12642-W-Avalon-Dr-85392/home/28069254,33.4817758,-112.3317046
Single Family Residential,2502 N 106TH Ave,Avondale,AZ,85392,340000,3,2,1950,16853,1999,59,http://www.redfin.com/AZ/Avondale/2502-N-106th-Ave-85392/home/27429899,33.4729186,-112.2887678
Single Family Residential,11213 W SUNFLOWER Pl,Avondale,AZ,85392,330000,3,2,2064,7218,1988,58,http://www.redfin.com/AZ/Avondale/11213-W-Sunflower-Pl-85392/home/27779475,33.4869702,-112.3013416
Single Family Residential,3023 N MEADOW Ln,Avondale,AZ,85392,373000,5,3,2869,7000,1994,60,http://www.redfin.com/AZ/Avondale/3023-N-Meadow-Ln-85392/home/27693045,33.481013,-112.2934713
Single Family Residential,645 N SIERRA VISTA Dr,Wickenburg,AZ,85390,475000,3,2,2094,16619,2020,0,http://www.redfin.com/AZ/Wickenburg/645-Sierra-Vista-Dr-85390/home/28353239,33.973886,-112.74597
Single Family Residential,560 W TOPEKA Dr,Wickenburg,AZ,85390,325000,3,2,1740,25302,2000,0,http://www.redfin.com/AZ/Wickenburg/560-N-Topeka-Dr-85390/home/27826190,33.9723419,-112.7486845
Single Family Residential,161 E CAVANESS Ave,Wickenburg,AZ,85390,249900,3,1.75,1484,10500,1976,0,http://www.redfin.com/AZ/Wickenburg/161-Cavaness-Ave-85390/home/27550536,33.9745849,-112.7332056
Single Family Residential,11108 N 190TH Ln,Surprise,AZ,85388,425000,3,2,1988,6360,2018,0,http://www.redfin.com/AZ/SURPRISE/11108-N-190TH-LN-85388/home/146067537,33.585228,-112.4695
Single Family Residential,17009 W Marconi Ave,Surprise,AZ,85388,242000,3,2,1419,4400,2004,72,http://www.redfin.com/AZ/Surprise/17009-W-Marconi-Ave-85388/home/28407007,33.6281952,-112.4246528
Single Family Residential,17624 W MAUI Ln,Surprise,AZ,85388,320000,3,2,2064,6584,2005,60,http://www.redfin.com/AZ/Surprise/17624-W-Maui-Ln-85388/home/28135707,33.6223111,-112.4376912
Single Family Residential,17570 W CHARTER OAK Rd,Surprise,AZ,85388,296000,3,2,2155,5943,2008,70,http://www.redfin.com/AZ/Surprise/17570-W-Charter-Oak-Rd-85388/home/28323315,33.5966158,-112.4370858
Single Family Residential,17406 W Andora St,Surprise,AZ,85388,426444,5,3.5,3551,6000,2020,99,http://www.redfin.com/AZ/Surprise/17406-W-Andora-St-85388/home/170074106,33.606299,-112.433487
Single Family Residential,17639 W EVANS Dr,Surprise,AZ,85388,334900,3,2,2416,7975,2003,60,http://www.redfin.com/AZ/Surprise/17639-W-Evans-Dr-85388/home/28092243,33.6156625,-112.4385061
Single Family Residential,17675 W CHARTER OAK Rd,Surprise,AZ,85388,325000,3,2,2155,5830,2008,70,http://www.redfin.com/AZ/Surprise/17675-W-Charter-Oak-Rd-85388/home/28341332,33.5962048,-112.4388087
Single Family Residential,16605 N 169TH Ave,Surprise,AZ,85388,279900,3,2,1430,6717,2003,44,http://www.redfin.com/AZ/Surprise/16605-N-169th-Ave-85388/home/27257677,33.6351166,-112.4225108
Single Family Residential,17642 W CROCUS Dr,Surprise,AZ,85388,369900,5,3.5,2401,8283,2004,60,http://www.redfin.com/AZ/Surprise/17642-W-Crocus-Dr-85388/home/27326056,33.6145794,-112.4388553
Single Family Residential,14225 N 181ST Ave,Surprise,AZ,85388,525000,3,3,2717,43230,1997,0,http://www.redfin.com/AZ/Surprise/14225-N-181st-Ave-85388/home/27863498,33.6138238,-112.4477259
Single Family Residential,15871 N 182ND Ave,Surprise,AZ,85388,390000,3,2.5,2715,11308,2006,60,http://www.redfin.com/AZ/Surprise/15871-N-182nd-Ave-85388/home/28264601,33.6283477,-112.4508691
Single Family Residential,17743 W EVANS Dr,Surprise,AZ,85388,369000,4,2.5,3336,6380,2004,60,http://www.redfin.com/AZ/Surprise/17743-W-Evans-Dr-85388/home/28025470,33.615942,-112.4400893
Single Family Residential,16536 N 181ST Ave,Surprise,AZ,85388,379900,4,3.5,3064,5750,2018,60,http://www.redfin.com/AZ/Surprise/16536-N-181st-Ave-85388/home/27126230,33.6346078,-112.4493886
Single Family Residential,11267 N 187TH Dr,Surprise,AZ,85388,374500,4,2.75,2313,7321,2017,89,http://www.redfin.com/AZ/Surprise/11267-N-187th-Dr-85388/home/145074562,33.5865871,-112.4621925
Single Family Residential,14204 N 183RD Ave,Surprise,AZ,85388,375000,3,2,1344,43230,1982,0,http://www.redfin.com/AZ/Surprise/14204-N-183rd-Ave-85388/home/28373175,33.6133708,-112.4521729
Single Family Residential,15937 N CRISTINE Ln,Surprise,AZ,85388,309000,4,3,2379,5500,2004,72,http://www.redfin.com/AZ/Surprise/15937-N-Cristine-Ln-85388/home/28049423,33.6292686,-112.4305667
Single Family Residential,16862 W POST Dr,Surprise,AZ,85388,285000,4,2,1756,7328,2003,44,http://www.redfin.com/AZ/Surprise/16862-W-Post-Dr-85388/home/27570430,33.6352926,-112.4213557
Single Family Residential,17685 W STATLER Dr,Surprise,AZ,85388,379900,4,2.5,3435,6325,2005,50,http://www.redfin.com/AZ/Surprise/17685-W-Statler-Dr-85388/home/27591304,33.6323477,-112.4393442
Single Family Residential,19010 W YUCATAN Dr,Surprise,AZ,85388,369900,3,2,1988,6358,2018,89,http://www.redfin.com/AZ/SURPRISE/19010-W-YUCATAN-DR-85388/home/146067511,33.587714,-112.468359
Single Family Residential,17634 W Ironwood St,Surprise,AZ,85388,379999,5,3,3438,6900,2005,60,http://www.redfin.com/AZ/Surprise/17634-W-Ironwood-St-85388/home/28178704,33.6301114,-112.4383431
Single Family Residential,11709 N LUCKENBACH St,Surprise,AZ,85388,339995,2,2,1942,4700,2020,120,http://www.redfin.com/AZ/Surprise/11709-N-Luckenbach-St-85388/home/172430113,33.590897,-112.427374
Single Family Residential,11703 N LUCKENBACH St,Surprise,AZ,85388,379995,3,2.75,2505,4680,2020,120,http://www.redfin.com/AZ/Surprise/11703-N-Luckenbach-St-85388/home/172430111,33.590718,-112.427335
Single Family Residential,17377 W WILDWOOD St,Surprise,AZ,85388,420995,2,2.5,2004,5500,2020,120,http://www.redfin.com/AZ/Surprise/17377-W-Wildwood-St-85388/home/172377550,33.588992,-112.432856
Single Family Residential,11497 N LUCKENBACH St,Surprise,AZ,85388,321995,2,2,1529,4680,2020,245,http://www.redfin.com/AZ/Surprise/11497-N-Luckenbach-St-85388/home/172245272,33.588881,-112.427631
Single Family Residential,11471 N LUCKENBACH St,Surprise,AZ,85388,355995,3,2.5,1818,5504,2020,245,http://www.redfin.com/AZ/Surprise/11471-N-Luckenbach-St-85388/home/172240619,33.5886,-112.42765
Single Family Residential,18810 W YUCATAN Dr,Surprise,AZ,85388,370000,3,2,2156,7149,2017,89,http://www.redfin.com/AZ/Surprise/18810-W-Yucatan-Dr-85388/home/143928657,33.5877133,-112.4641008
Single Family Residential,17191 W THOUSAND OAKS St,Surprise,AZ,85388,744995,4,3.5,3254,7700,2020,245,http://www.redfin.com/AZ/Surprise/17191-W-Thousand-Oaks-St-85388/home/171300473,33.594637,-112.428132
Single Family Residential,17191 W SAN MARCOS St,Surprise,AZ,85388,784154,4,3.5,3741,6600,2020,245,http://www.redfin.com/AZ/Surprise/17191-W-San-Marcos-St-85388/home/171280161,33.594637,-112.447028
Single Family Residential,17183 W SAN MARCOS St,Surprise,AZ,85388,609561,3,3.5,2220,6600,2020,245,http://www.redfin.com/AZ/Surprise/17183-W-San-Marcos-St-85388/home/171260216,33.594637,-112.428132
Single Family Residential,17175 W SAN MARCOS St,Surprise,AZ,85388,513250,2,2,2004,5500,2020,245,http://www.redfin.com/AZ/Surprise/17175-W-San-Marcos-St-85388/home/171259917,33.594637,-112.428132
Single Family Residential,17163 W THOUSAND OAKS St,Surprise,AZ,85388,402995,3,2,1520,5500,2020,245,http://www.redfin.com/AZ/Surprise/17163-W-Thousand-Oaks-St-85388/home/171250511,33.594637,-112.428132
Single Family Residential,17166 W THOUSAND OAKS St,Surprise,AZ,85388,481497,2,2,1520,5500,2020,245,http://www.redfin.com/AZ/Surprise/17166-W-Thousand-Oaks-St-85388/home/171249945,33.594637,-112.428132
Single Family Residential,13351 N 174th Ave,Surprise,AZ,85388,332650,3,3,1964,6000,2020,99,http://www.redfin.com/AZ/Surprise/13351-N-174th-Ave-85388/home/170074111,33.605736,-112.433053
Single Family Residential,18379 W STATLER St,Surprise,AZ,85388,353000,4,2.5,2604,7800,2009,65,http://www.redfin.com/AZ/Surprise/18379-W-Statler-St-85388/home/27861774,33.6317788,-112.4545244
Single Family Residential,16301 W KEARNEY Ln,Surprise,AZ,85387,309900,3,2,1427,6600,2004,133,http://www.redfin.com/AZ/Surprise/16301-W-Kearney-Ln-85387/home/27685015,33.6788406,-112.4091929
Single Family Residential,26114 N 155th Ln,Surprise,AZ,85387,334990,3,2,1658,56760,2020,0,http://www.redfin.com/AZ/Surprise/26114-N-155th-Ln-85374/home/172554656,33.6270408,-112.3951639
Single Family Residential,16783 W ROMERO Ln,Surprise,AZ,85387,379000,3,2,1950,8597,2004,133,http://www.redfin.com/AZ/Surprise/16783-W-Romero-Ln-85387/home/27617472,33.6684512,-112.4197634
Single Family Residential,17248 W MOLLY Ln,Surprise,AZ,85387,306015,4,2.5,1889,5857,2020,75,http://www.redfin.com/AZ/Surprise/17248-W-Molly-Ln-85387/home/170642256,33.7275264,-112.4414862
Single Family Residential,16822 W Rancho Laredo Dr,Surprise,AZ,85387,649000,5,3,2820,54625,2020,0,http://www.redfin.com/AZ/Surprise/16822-W-Rancho-Laredo-Dr-85387/home/172663049,33.7622002,-112.424532
Mobile/Manufactured Home,22050 W ADOBE Rte,Surprise,AZ,85387,659000,3,2,1928,299257,1997,0,http://www.redfin.com/AZ/Surprise/22050-W-Adobe-Rd-85387/home/28129729,33.6866556,-112.5331
Single Family Residential,14432 W Honeysuckle Dr,Surprise,AZ,85387,329594,3,2,1700,4699,2020,79,http://www.redfin.com/AZ/Surprise/14432-W-Honeysuckle-Dr-85387/home/172659884,33.718136,-112.371657
Single Family Residential,17246 W HERMOSA Dr,Surprise,AZ,85387,678900,2,2.5,2650,10994,2002,133,http://www.redfin.com/AZ/Surprise/17246-W-Hermosa-Dr-85387/home/28054308,33.6591624,-112.429775
Single Family Residential,29409 N 182ND Ave,Surprise,AZ,85387,305500,3,2,1465,52154,2020,0,http://www.redfin.com/AZ/Surprise/29409-N-182nd-Ave-85387/home/172652379,33.749866,-112.453214
Single Family Residential,28615 N 153RD Ave,Surprise,AZ,85387,469800,3,2,2350,44386,2006,0,http://www.redfin.com/AZ/Surprise/28615-N-153rd-Ave-85387/home/27423043,33.7428886,-112.3901705
Single Family Residential,19105 N HAWTHORN Dr,Surprise,AZ,85387,399000,2,2,2014,9174,2002,133,http://www.redfin.com/AZ/Surprise/19105-N-Hawthorn-Dr-85387/home/27885577,33.6579316,-112.4300312
Single Family Residential,20936 N CANYON WHISPER Dr,Surprise,AZ,85387,268500,2,2,1330,6600,2005,133,http://www.redfin.com/AZ/Surprise/20936-N-Canyon-Whisper-Dr-85387/home/27334313,33.6756661,-112.4232558
Single Family Residential,14947 W RED FOX Rd,Surprise,AZ,85387,549777,3,2.5,2558,87280,2006,0,http://www.redfin.com/AZ/Surprise/14947-W-Red-Fox-Rd-85387/home/28182519,33.7373665,-112.3834648
Single Family Residential,16946 W SAGUARO PARK Ln,Surprise,AZ,85387,436490,3,3,2594,8750,2020,75,http://www.redfin.com/AZ/Surprise/16946-W-Saguaro-Park-Ln-85387/home/27380420,33.7066153,-112.4237162
Single Family Residential,18229 W VIA MONTOYA Dr,Surprise,AZ,85387,389500,4,3.5,3198,6095,2018,62,http://www.redfin.com/AZ/Surprise/18229-W-Via-Montoya-Dr-85387/home/146068403,33.6866009,-112.4509942
Single Family Residential,26798 N 175TH Ln,Surprise,AZ,85387,349999,4,2.5,2902,6600,2006,82,http://www.redfin.com/AZ/Surprise/26798-N-175th-Ln-85387/home/27462230,33.7262902,-112.4402057
Single Family Residential,26835 N 176TH Dr,Surprise,AZ,85387,294000,4,2,1950,6875,2006,82,http://www.redfin.com/AZ/Surprise/26835-N-176th-Dr-85387/home/27060283,33.7265833,-112.4406248
Single Family Residential,18902 N SUNSITES Dr,Surprise,AZ,85387,354000,2,2,1972,9125,2002,133,http://www.redfin.com/AZ/Surprise/18902-N-Sunsites-Dr-85387/home/27917900,33.6563567,-112.4366667
Single Family Residential,20965 N SEQUOIA CREST Dr,Surprise,AZ,85387,265500,2,2,1166,7200,2004,133,http://www.redfin.com/AZ/Sun-City-West/20965-N-Sequoia-Crest-Dr-85387/home/27998615,33.6748571,-112.4107296
Single Family Residential,16811 W CAMINO VIVAZ --,Surprise,AZ,85387,425000,4,3,2599,8688,2018,75,http://www.redfin.com/AZ/Surprise/16811-W-Camino-Vivaz-85387/home/27215935,33.6976755,-112.4223617
Single Family Residential,19620 N MAJESTIC VISTA Ct,Surprise,AZ,85387,368000,2,1.75,1872,9251,2004,133,http://www.redfin.com/AZ/Surprise/19620-N-Majestic-Vista-Ct-85387/home/27031585,33.6628529,-112.4278193
Single Family Residential,16590 W Calle Lejos St,Surprise,AZ,85387,397000,5,3,2660,10159,2017,69,http://www.redfin.com/AZ/Surprise/16590-Calle-Lejos-85387/home/27381978,33.7037247,-112.4155958
Single Family Residential,21203 N REDINGTON POINT Dr,Surprise,AZ,85387,320000,2,2,1688,7102,2004,133,http://www.redfin.com/AZ/Surprise/21203-N-Redington-Point-Dr-85387/home/27626058,33.676735,-112.4158984
Single Family Residential,26553 N 167TH Ave,Surprise,AZ,85387,382908,4,2.5,2800,11312,2020,66,http://www.redfin.com/AZ/Surprise/26553-N-167th-Ave-85387/home/27307345,33.724216,-112.42049
Single Family Residential,16722 W ROWEL Rd,Surprise,AZ,85387,379413,3,2,2078,6905,2016,66,http://www.redfin.com/AZ/Surprise/16722-W-Rowel-Rd-85387/home/27307351,33.7242764,-112.4217425
Single Family Residential,20525 N VERMILLION CLIFFS Dr,Surprise,AZ,85387,350000,2,2.5,2185,11924,2003,133,http://www.redfin.com/AZ/Surprise/20525-N-Vermillion-Cliffs-Dr-85387/home/27956468,33.6710953,-112.4266784
Single Family Residential,17531 W FETLOCK Trl,Surprise,AZ,85387,309990,3,2,2126,7637,2015,82,http://www.redfin.com/AZ/Surprise/17531-W-Fetlock-Trl-85387/home/27384675,33.7306321,-112.4392983
Single Family Residential,24228 N 173RD Ave,Surprise,AZ,85387,442990,3,3,2559,7137,2020,178,http://www.redfin.com/AZ/Surprise/24228-N-173rd-Ave-85387/home/172346934,33.7067,-112.432
Single Family Residential,19607 N CRESCENT RIDGE Dr,Surprise,AZ,85387,464400,2,2,2194,8800,2003,133,http://www.redfin.com/AZ/Surprise/19607-N-Crescent-Ridge-Dr-85387/home/27947117,33.6625404,-112.4297224
Single Family Residential,24145 N 172ND Ln,Surprise,AZ,85387,397990,2,2,2113,6696,2020,178,http://www.redfin.com/AZ/Surprise/24145-N-172nd-Ln-85387/home/171562271,33.7067,-112.432
