temp_city,temp_state,temp_abbr,Summer Temp,Winter Temp
Birmingham,Alabama,AL,82.1,45.1
Huntsville,Alabama,AL,80,42.9
Mobile,Alabama,AL,82.8,51.5
Montgomery,Alabama,AL,83.7,48.5
Alexander,Arkansas,AR,81.9,41.8
Benton,Arkansas,AR,92,27
Bryant,Arkansas,AR,92,27
Fort Smith,Arkansas,AR,83,40
Jacksonville,Arkansas,AR,81.9,41.8
Little Rock,Arkansas,AR,81.9,41.8
Mabelvale,Arkansas,AR,81.9,41.8
Maumelle,Arkansas,AR,81.9,41.8
North little Rock,Arkansas,AR,81.9,41.8
Paron,Arkansas,AR,90,28
Scott,Arkansas,AR,81.9,41.8
Sherwood,Arkansas,AR,81.9,41.8
Flagstaff,Arizona,AZ,67.3,30.8
Phoenix,Arizona,AZ,96.8,56
Tucson,Arizona,AZ,89.3,52.7
Yuma,Arizona,AZ,95.9,55.6
Arleta,California,CA,79,51
Atwater Village,California,CA,79,51
Beverly Hills,California,CA,79,51
Bonita,California,CA,78,46
Brentwood,California,CA,73,44
Calabasas,California,CA,94,40
Canoga Park,California,CA,69.7,57.7
Chatsworth,California,CA,69.7,57.7
Chula Vista,California,CA,78,46
City Heights,California,CA,76,49
City Terrace,California,CA,69.7,57.7
Culver City,California,CA,79,48
Del Mar,California,CA,76,49
Eagle Rock,California,CA,88,42
Echo Park,California,CA,69.7,57.7
El Segundo,California,CA,70,50
Encino,California,CA,69.7,57.7
Escondido,California,CA,89,43
Eureka,California,CA,61.9,49.5
Fresno,California,CA,83.8,51.5
Gardena,California,CA,78,49
Glendale,California,CA,88,42
Granada Hills,California,CA,69.7,57.7
Harbor City,California,CA,84,46
Hollywood Hills,California,CA,88,42
Imperial Beach,California,CA,75,47
La Jolla,California,CA,76,49
La Mesa,California,CA,85,46
Lake Balboa,California,CA,88,42
Lemon Grove,California,CA,85,46
Los Angeles,California,CA,79,51
Marina Del Rey,California,CA,70,50
Mission Hills,California,CA,88,42
Monterey Hills,California,CA,91,48
North Hills,California,CA,91,48
North Hollywood,California,CA,88,42
Northridge,California,CA,88,42
Pacific Beach,California,CA,76,49
Pacific Palisades,California,CA,76,49
Pacoima,California,CA,91,48
Panorama City,California,CA,91,48
Paradise Hills,California,CA,76,49
Playa Del Rey,California,CA,70,50
Playa Vista,California,CA,88,42
Porter Ranch,California,CA,88,42
Rancho Palos Verdes,California,CA,82,46
Sacramento,California,CA,77.9,50.2
San Diego,California,CA,76,49
San Francisco,California,CA,67.2,54
San Pedro,California,CA,76,49
San Ysidro,California,CA,76,49
Santa Monica,California,CA,70,50
Santee,California,CA,76,49
Scripps Miramar,California,CA,76,49
Shadow Hills,California,CA,88,42
Sherman Oaks,California,CA,88,42
Solana Beach,California,CA,76,49
Studio City,California,CA,88,42
Sun Valley,California,CA,79,51
Sunland,California,CA,88,42
Sylmar,California,CA,88,42
Tarzana,California,CA,69.7,57.7
Toluca Lake,California,CA,88,42
Torrance,California,CA,78,46
